slug,character,unicodeName,codePoint,group,subGroup,variants
e0-6-ogre,👹,E0.6 ogre,1F479,smileys-emotion,face-costume,
e0-6-goblin,👺,E0.6 goblin,1F47A,smileys-emotion,face-costume,
e0-6-ghost,👻,E0.6 ghost,1F47B,smileys-emotion,face-costume,
e0-6-alien,👽,E0.6 alien,1F47D,smileys-emotion,face-costume,
e0-6-alien-monster,👾,E0.6 alien monster,1F47E,smileys-emotion,face-costume,
e1-0-robot,🤖,E1.0 robot,1F916,smileys-emotion,face-costume,
e0-6-grinning-cat,😺,E0.6 grinning cat,1F63A,smileys-emotion,cat-face,
e0-6-grinning-cat-with-smiling-eyes,😸,E0.6 grinning cat with smiling eyes,1F638,smileys-emotion,cat-face,
e0-6-cat-with-tears-of-joy,😹,E0.6 cat with tears of joy,1F639,smileys-emotion,cat-face,
e0-6-smiling-cat-with-heart-eyes,😻,E0.6 smiling cat with heart-eyes,1F63B,smileys-emotion,cat-face,
e0-6-cat-with-wry-smile,😼,E0.6 cat with wry smile,1F63C,smileys-emotion,cat-face,
e0-6-kissing-cat,😽,E0.6 kissing cat,1F63D,smileys-emotion,cat-face,
e0-6-weary-cat,🙀,E0.6 weary cat,1F640,smileys-emotion,cat-face,
e0-6-crying-cat,😿,E0.6 crying cat,1F63F,smileys-emotion,cat-face,
e0-6-pouting-cat,😾,E0.6 pouting cat,1F63E,smileys-emotion,cat-face,
e0-6-see-no-evil-monkey,🙈,E0.6 see-no-evil monkey,1F648,smileys-emotion,monkey-face,
e0-6-hear-no-evil-monkey,🙉,E0.6 hear-no-evil monkey,1F649,smileys-emotion,monkey-face,
e0-6-speak-no-evil-monkey,🙊,E0.6 speak-no-evil monkey,1F64A,smileys-emotion,monkey-face,
e0-6-love-letter,💌,E0.6 love letter,1F48C,smileys-emotion,heart,
e0-6-heart-with-arrow,💘,E0.6 heart with arrow,1F498,smileys-emotion,heart,
e0-6-heart-with-ribbon,💝,E0.6 heart with ribbon,1F49D,smileys-emotion,heart,
e0-6-sparkling-heart,💖,E0.6 sparkling heart,1F496,smileys-emotion,heart,
e0-6-growing-heart,💗,E0.6 growing heart,1F497,smileys-emotion,heart,
e0-6-beating-heart,💓,E0.6 beating heart,1F493,smileys-emotion,heart,
e0-6-revolving-hearts,💞,E0.6 revolving hearts,1F49E,smileys-emotion,heart,
e0-6-two-hearts,💕,E0.6 two hearts,1F495,smileys-emotion,heart,
e0-6-heart-decoration,💟,E0.6 heart decoration,1F49F,smileys-emotion,heart,
e1-0-heart-exclamation,❣️,E1.0 heart exclamation,2763 FE0F,smileys-emotion,heart,
e0-6-broken-heart,💔,E0.6 broken heart,1F494,smileys-emotion,heart,
e13-1-heart-on-fire,❤️‍🔥,E13.1 heart on fire,2764 FE0F 200D 1F525,smileys-emotion,heart,
e13-1-mending-heart,❤️‍🩹,E13.1 mending heart,2764 FE0F 200D 1FA79,smileys-emotion,heart,
e0-6-red-heart,❤️,E0.6 red heart,2764 FE0F,smileys-emotion,heart,
e15-0-pink-heart,🩷,E15.0 pink heart,1FA77,smileys-emotion,heart,
e5-0-orange-heart,🧡,E5.0 orange heart,1F9E1,smileys-emotion,heart,
e0-6-yellow-heart,💛,E0.6 yellow heart,1F49B,smileys-emotion,heart,
e0-6-green-heart,💚,E0.6 green heart,1F49A,smileys-emotion,heart,
e0-6-blue-heart,💙,E0.6 blue heart,1F499,smileys-emotion,heart,
e15-0-light-blue-heart,🩵,E15.0 light blue heart,1FA75,smileys-emotion,heart,
e0-6-purple-heart,💜,E0.6 purple heart,1F49C,smileys-emotion,heart,
e12-0-brown-heart,🤎,E12.0 brown heart,1F90E,smileys-emotion,heart,
e3-0-black-heart,🖤,E3.0 black heart,1F5A4,smileys-emotion,heart,
e15-0-grey-heart,🩶,E15.0 grey heart,1FA76,smileys-emotion,heart,
e12-0-white-heart,🤍,E12.0 white heart,1F90D,smileys-emotion,heart,
e0-6-kiss-mark,💋,E0.6 kiss mark,1F48B,smileys-emotion,emotion,
e0-6-hundred-points,💯,E0.6 hundred points,1F4AF,smileys-emotion,emotion,
e0-6-anger-symbol,💢,E0.6 anger symbol,1F4A2,smileys-emotion,emotion,
e0-6-collision,💥,E0.6 collision,1F4A5,smileys-emotion,emotion,
e0-6-dizzy,💫,E0.6 dizzy,1F4AB,smileys-emotion,emotion,
e0-6-sweat-droplets,💦,E0.6 sweat droplets,1F4A6,smileys-emotion,emotion,
e0-6-dashing-away,💨,E0.6 dashing away,1F4A8,smileys-emotion,emotion,
e0-7-hole,🕳️,E0.7 hole,1F573 FE0F,smileys-emotion,emotion,
e0-6-speech-balloon,💬,E0.6 speech balloon,1F4AC,smileys-emotion,emotion,
e2-0-eye-in-speech-bubble,👁️‍🗨️,E2.0 eye in speech bubble,1F441 FE0F 200D 1F5E8 FE0F,smileys-emotion,emotion,
e2-0-left-speech-bubble,🗨️,E2.0 left speech bubble,1F5E8 FE0F,smileys-emotion,emotion,
e0-7-right-anger-bubble,🗯️,E0.7 right anger bubble,1F5EF FE0F,smileys-emotion,emotion,
e1-0-thought-balloon,💭,E1.0 thought balloon,1F4AD,smileys-emotion,emotion,
e0-6-zzz,💤,E0.6 ZZZ,1F4A4,smileys-emotion,emotion,
e0-6-waving-hand,👋,E0.6 waving hand,1F44B,people-body,hand-fingers-open,"[{'slug': 'e1-0-waving-hand-light-skin-tone', 'character': '👋🏻'}, {'slug': 'e1-0-waving-hand-medium-light-skin-tone', 'character': '👋🏼'}, {'slug': 'e1-0-waving-hand-medium-skin-tone', 'character': '👋🏽'}, {'slug': 'e1-0-waving-hand-medium-dark-skin-tone', 'character': '👋🏾'}, {'slug': 'e1-0-waving-hand-dark-skin-tone', 'character': '👋🏿'}]"
e3-0-raised-back-of-hand,🤚,E3.0 raised back of hand,1F91A,people-body,hand-fingers-open,"[{'slug': 'e3-0-raised-back-of-hand-light-skin-tone', 'character': '🤚🏻'}, {'slug': 'e3-0-raised-back-of-hand-medium-light-skin-tone', 'character': '🤚🏼'}, {'slug': 'e3-0-raised-back-of-hand-medium-skin-tone', 'character': '🤚🏽'}, {'slug': 'e3-0-raised-back-of-hand-medium-dark-skin-tone', 'character': '🤚🏾'}, {'slug': 'e3-0-raised-back-of-hand-dark-skin-tone', 'character': '🤚🏿'}]"
e0-7-hand-with-fingers-splayed,🖐️,E0.7 hand with fingers splayed,1F590 FE0F,people-body,hand-fingers-open,
e1-0-hand-with-fingers-splayed-light-skin-tone,🖐🏻,E1.0 hand with fingers splayed: light skin tone,1F590 1F3FB,people-body,hand-fingers-open,
e1-0-hand-with-fingers-splayed-medium-light-skin-tone,🖐🏼,E1.0 hand with fingers splayed: medium-light skin tone,1F590 1F3FC,people-body,hand-fingers-open,
e1-0-hand-with-fingers-splayed-medium-skin-tone,🖐🏽,E1.0 hand with fingers splayed: medium skin tone,1F590 1F3FD,people-body,hand-fingers-open,
e1-0-hand-with-fingers-splayed-medium-dark-skin-tone,🖐🏾,E1.0 hand with fingers splayed: medium-dark skin tone,1F590 1F3FE,people-body,hand-fingers-open,
e1-0-hand-with-fingers-splayed-dark-skin-tone,🖐🏿,E1.0 hand with fingers splayed: dark skin tone,1F590 1F3FF,people-body,hand-fingers-open,
e0-6-raised-hand,✋,E0.6 raised hand,270B,people-body,hand-fingers-open,"[{'slug': 'e1-0-raised-hand-light-skin-tone', 'character': '✋🏻'}, {'slug': 'e1-0-raised-hand-medium-light-skin-tone', 'character': '✋🏼'}, {'slug': 'e1-0-raised-hand-medium-skin-tone', 'character': '✋🏽'}, {'slug': 'e1-0-raised-hand-medium-dark-skin-tone', 'character': '✋🏾'}, {'slug': 'e1-0-raised-hand-dark-skin-tone', 'character': '✋🏿'}]"
