name,category,group,htmlCode,unicode
bridge at night,travel and places,travel and places,['&#127753;'],['U+1F309']
hot springs,travel and places,travel and places,['&#9832;'],['U+2668']
milky way,travel and places,travel and places,['&#127756;'],['U+1F30C']
carousel horse,travel and places,travel and places,['&#127904;'],['U+1F3A0']
ferris wheel,travel and places,travel and places,['&#127905;'],['U+1F3A1']
roller coaster,travel and places,travel and places,['&#127906;'],['U+1F3A2']
barber pole,travel and places,travel and places,['&#128136;'],['U+1F488']
circus tent,travel and places,travel and places,['&#127914;'],['U+1F3AA']
performing arts,travel and places,travel and places,['&#127917;'],['U+1F3AD']
frame with picture,travel and places,travel and places,['&#128444;'],['U+1F5BC']
artist palette,travel and places,travel and places,['&#127912;'],['U+1F3A8']
slot machine,travel and places,travel and places,['&#127920;'],['U+1F3B0']
steam locomotive ≊ locomotive,travel and places,travel and places,['&#128642;'],['U+1F682']
railway car,travel and places,travel and places,['&#128643;'],['U+1F683']
high-speed train,travel and places,travel and places,['&#128644;'],['U+1F684']
high-speed train with bullet nose,travel and places,travel and places,['&#128645;'],['U+1F685']
train,travel and places,travel and places,['&#128646;'],['U+1F686']
metro,travel and places,travel and places,['&#128647;'],['U+1F687']
light rail,travel and places,travel and places,['&#128648;'],['U+1F688']
station,travel and places,travel and places,['&#128649;'],['U+1F689']
tram,travel and places,travel and places,['&#128650;'],['U+1F68A']
monorail,travel and places,travel and places,['&#128669;'],['U+1F69D']
mountain railway,travel and places,travel and places,['&#128670;'],['U+1F69E']
tram car,travel and places,travel and places,['&#128651;'],['U+1F68B']
bus,travel and places,travel and places,['&#128652;'],['U+1F68C']
oncoming bus,travel and places,travel and places,['&#128653;'],['U+1F68D']
trolleybus,travel and places,travel and places,['&#128654;'],['U+1F68E']
minibus,travel and places,travel and places,['&#128656;'],['U+1F690']
ambulance,travel and places,travel and places,['&#128657;'],['U+1F691']
fire engine,travel and places,travel and places,['&#128658;'],['U+1F692']
police car,travel and places,travel and places,['&#128659;'],['U+1F693']
oncoming police car,travel and places,travel and places,['&#128660;'],['U+1F694']
taxi,travel and places,travel and places,['&#128661;'],['U+1F695']
oncoming taxi,travel and places,travel and places,['&#128662;'],['U+1F696']
automobile,travel and places,travel and places,['&#128663;'],['U+1F697']
oncoming automobile,travel and places,travel and places,['&#128664;'],['U+1F698']
recreational vehicle,travel and places,travel and places,['&#128665;'],['U+1F699']
delivery truck,travel and places,travel and places,['&#128666;'],['U+1F69A']
articulated lorry,travel and places,travel and places,['&#128667;'],['U+1F69B']
tractor,travel and places,travel and places,['&#128668;'],['U+1F69C']
bicycle,travel and places,travel and places,['&#128690;'],['U+1F6B2']
scooter ≊ kick scooter,travel and places,travel and places,['&#128756;'],['U+1F6F4']
motor scooter,travel and places,travel and places,['&#128757;'],['U+1F6F5']
racing car,travel and places,travel and places,['&#127950;'],['U+1F3CE']
racing motorcycle ≊ motorcycle,travel and places,travel and places,['&#127949;'],['U+1F3CD']
bus stop,travel and places,travel and places,['&#128655;'],['U+1F68F']
motorway,travel and places,travel and places,['&#128739;'],['U+1F6E3']
railway track,travel and places,travel and places,['&#128740;'],['U+1F6E4']
fuel pump,travel and places,travel and places,['&#9981;'],['U+26FD']
police cars revolving light ≊ police carâ€™s light,travel and places,travel and places,['&#128680;'],['U+1F6A8']
horizontal traffic light,travel and places,travel and places,['&#128677;'],['U+1F6A5']
vertical traffic light,travel and places,travel and places,['&#128678;'],['U+1F6A6']
construction sign ≊ construction,travel and places,travel and places,['&#128679;'],['U+1F6A7']
octagonal sign ≊ stop sign,travel and places,travel and places,['&#128721;'],['U+1F6D1']
anchor,travel and places,travel and places,['&#9875;'],['U+2693']
sailboat,travel and places,travel and places,['&#9973;'],['U+26F5']
canoe,travel and places,travel and places,['&#128758;'],['U+1F6F6']
speedboat,travel and places,travel and places,['&#128676;'],['U+1F6A4']
passenger ship,travel and places,travel and places,['&#128755;'],['U+1F6F3']
ferry,travel and places,travel and places,['&#9972;'],['U+26F4']
motor boat,travel and places,travel and places,['&#128741;'],['U+1F6E5']
ship,travel and places,travel and places,['&#128674;'],['U+1F6A2']
airplane,travel and places,travel and places,['&#9992;'],['U+2708']
small airplane,travel and places,travel and places,['&#128745;'],['U+1F6E9']
airplane departure,travel and places,travel and places,['&#128747;'],['U+1F6EB']
airplane arriving ≊ airplane arrival,travel and places,travel and places,['&#128748;'],['U+1F6EC']
seat,travel and places,travel and places,['&#128186;'],['U+1F4BA']
helicopter,travel and places,travel and places,['&#128641;'],['U+1F681']
suspension railway,travel and places,travel and places,['&#128671;'],['U+1F69F']
mountain cableway,travel and places,travel and places,['&#128672;'],['U+1F6A0']
aerial tramway,travel and places,travel and places,['&#128673;'],['U+1F6A1']
rocket,travel and places,travel and places,['&#128640;'],['U+1F680']
satellite,travel and places,travel and places,['&#128752;'],['U+1F6F0']
bellhop bell,travel and places,travel and places,['&#128718;'],['U+1F6CE']
door,travel and places,travel and places,['&#128682;'],['U+1F6AA']
sleeping accommodation ≊ person in bed,travel and places,travel and places,['&#128716;'],['U+1F6CC']
bed,travel and places,travel and places,['&#128719;'],['U+1F6CF']
couch and lamp,travel and places,travel and places,['&#128715;'],['U+1F6CB']
toilet,travel and places,travel and places,['&#128701;'],['U+1F6BD']
shower,travel and places,travel and places,['&#128703;'],['U+1F6BF']
bath ≊ person taking bath,travel and places,travel and places,['&#128704;'],['U+1F6C0']
"person taking bath, type-1-2",travel and places,travel and places,"['&#128704;', '&#127995;']","['U+1F6C0', 'U+1F3FB']"
"person taking bath, type-3",travel and places,travel and places,"['&#128704;', '&#127996;']","['U+1F6C0', 'U+1F3FC']"
"person taking bath, type-4",travel and places,travel and places,"['&#128704;', '&#127997;']","['U+1F6C0', 'U+1F3FD']"
"person taking bath, type-5",travel and places,travel and places,"['&#128704;', '&#127998;']","['U+1F6C0', 'U+1F3FE']"
"person taking bath, type-6",travel and places,travel and places,"['&#128704;', '&#127999;']","['U+1F6C0', 'U+1F3FF']"
bathtub,travel and places,travel and places,['&#128705;'],['U+1F6C1']
hourglass,travel and places,travel and places,['&#8987;'],['U+231B']
hourglass with flowing sand,travel and places,travel and places,['&#9203;'],['U+23F3']
watch,travel and places,travel and places,['&#8986;'],['U+231A']
alarm clock,travel and places,travel and places,['&#9200;'],['U+23F0']
stopwatch,travel and places,travel and places,['&#9201;'],['U+23F1']
timer clock,travel and places,travel and places,['&#9202;'],['U+23F2']
mantelpiece clock,travel and places,travel and places,['&#128368;'],['U+1F570']
clock face twelve oclock ≊ twelve oâ€™clock,travel and places,travel and places,['&#128347;'],['U+1F55B']
clock face twelve-thirty ≊ twelve-thirty,travel and places,travel and places,['&#128359;'],['U+1F567']
clock face one oclock ≊ one oâ€™clock,travel and places,travel and places,['&#128336;'],['U+1F550']
clock face one-thirty ≊ one-thirty,travel and places,travel and places,['&#128348;'],['U+1F55C']
clock face two oclock ≊ two oâ€™clock,travel and places,travel and places,['&#128337;'],['U+1F551']
clock face two-thirty ≊ two-thirty,travel and places,travel and places,['&#128349;'],['U+1F55D']
clock face three oclock ≊ three oâ€™clock,travel and places,travel and places,['&#128338;'],['U+1F552']
clock face three-thirty ≊ three-thirty,travel and places,travel and places,['&#128350;'],['U+1F55E']
clock face four oclock ≊ four oâ€™clock,travel and places,travel and places,['&#128339;'],['U+1F553']
clock face four-thirty ≊ four-thirty,travel and places,travel and places,['&#128351;'],['U+1F55F']
clock face five oclock ≊ five oâ€™clock,travel and places,travel and places,['&#128340;'],['U+1F554']
clock face five-thirty ≊ five-thirty,travel and places,travel and places,['&#128352;'],['U+1F560']
clock face six oclock ≊ six oâ€™clock,travel and places,travel and places,['&#128341;'],['U+1F555']
clock face six-thirty ≊ six-thirty,travel and places,travel and places,['&#128353;'],['U+1F561']
clock face seven oclock ≊ seven oâ€™clock,travel and places,travel and places,['&#128342;'],['U+1F556']
clock face seven-thirty ≊ seven-thirty,travel and places,travel and places,['&#128354;'],['U+1F562']
clock face eight oclock ≊ eight oâ€™clock,travel and places,travel and places,['&#128343;'],['U+1F557']
clock face eight-thirty ≊ eight-thirty,travel and places,travel and places,['&#128355;'],['U+1F563']
clock face nine oclock ≊ nine oâ€™clock,travel and places,travel and places,['&#128344;'],['U+1F558']
clock face nine-thirty ≊ nine-thirty,travel and places,travel and places,['&#128356;'],['U+1F564']
clock face ten oclock ≊ ten oâ€™clock,travel and places,travel and places,['&#128345;'],['U+1F559']
clock face ten-thirty ≊ ten-thirty,travel and places,travel and places,['&#128357;'],['U+1F565']
clock face eleven oclock ≊ eleven oâ€™clock,travel and places,travel and places,['&#128346;'],['U+1F55A']
clock face eleven-thirty ≊ eleven-thirty,travel and places,travel and places,['&#128358;'],['U+1F566']
new moon symbol ≊ new moon,travel and places,travel and places,['&#127761;'],['U+1F311']
waxing crescent moon symbol ≊ waxing crescent moon,travel and places,travel and places,['&#127762;'],['U+1F312']
first quarter moon symbol ≊ first quarter moon,travel and places,travel and places,['&#127763;'],['U+1F313']
waxing gibbous moon symbol ≊ waxing gibbous moon,travel and places,travel and places,['&#127764;'],['U+1F314']
full moon symbol ≊ full moon,travel and places,travel and places,['&#127765;'],['U+1F315']
waning gibbous moon symbol ≊ waning gibbous moon,travel and places,travel and places,['&#127766;'],['U+1F316']
last quarter moon symbol ≊ last quarter moon,travel and places,travel and places,['&#127767;'],['U+1F317']
waning crescent moon symbol ≊ waning crescent moon,travel and places,travel and places,['&#127768;'],['U+1F318']
crescent moon,travel and places,travel and places,['&#127769;'],['U+1F319']
new moon with face ≊ new moon face,travel and places,travel and places,['&#127770;'],['U+1F31A']
first quarter moon with face,travel and places,travel and places,['&#127771;'],['U+1F31B']
last quarter moon with face,travel and places,travel and places,['&#127772;'],['U+1F31C']
thermometer,travel and places,travel and places,['&#127777;'],['U+1F321']
black sun with rays ≊ sun,travel and places,travel and places,['&#9728;'],['U+2600']
full moon with face,travel and places,travel and places,['&#127773;'],['U+1F31D']
sun with face,travel and places,travel and places,['&#127774;'],['U+1F31E']
white medium star,travel and places,travel and places,['&#11088;'],['U+2B50']
glowing star,travel and places,travel and places,['&#127775;'],['U+1F31F']
shooting star,travel and places,travel and places,['&#127776;'],['U+1F320']
cloud,travel and places,travel and places,['&#9729;'],['U+2601']
sun behind cloud,travel and places,travel and places,['&#9925;'],['U+26C5']
thunder cloud and rain ≊ cloud with lightning and rain,travel and places,travel and places,['&#9928;'],['U+26C8']
white sun with small cloud ≊ sun behind small cloud,travel and places,travel and places,['&#127780;'],['U+1F324']
white sun behind cloud ≊ sun behind large cloud,travel and places,travel and places,['&#127781;'],['U+1F325']
white sun behind cloud with rain ≊ sun behind cloud with rain,travel and places,travel and places,['&#127782;'],['U+1F326']
cloud with rain,travel and places,travel and places,['&#127783;'],['U+1F327']
cloud with snow,travel and places,travel and places,['&#127784;'],['U+1F328']
cloud with lightning,travel and places,travel and places,['&#127785;'],['U+1F329']
cloud with tornado ≊ tornado,travel and places,travel and places,['&#127786;'],['U+1F32A']
fog,travel and places,travel and places,['&#127787;'],['U+1F32B']
wind blowing face ≊ wind face,travel and places,travel and places,['&#127788;'],['U+1F32C']
cyclone,travel and places,travel and places,['&#127744;'],['U+1F300']
rainbow,travel and places,travel and places,['&#127752;'],['U+1F308']
closed umbrella,travel and places,travel and places,['&#127746;'],['U+1F302']
umbrella,travel and places,travel and places,['&#9730;'],['U+2602']
umbrella with rain drops,travel and places,travel and places,['&#9748;'],['U+2614']
umbrella on ground,travel and places,travel and places,['&#9969;'],['U+26F1']
high voltage sign ≊ high voltage,travel and places,travel and places,['&#9889;'],['U+26A1']
snowflake,travel and places,travel and places,['&#10052;'],['U+2744']
snowman,travel and places,travel and places,['&#9731;'],['U+2603']
snowman without snow,travel and places,travel and places,['&#9924;'],['U+26C4']
comet,travel and places,travel and places,['&#9732;'],['U+2604']
fire,travel and places,travel and places,['&#128293;'],['U+1F525']
droplet,travel and places,travel and places,['&#128167;'],['U+1F4A7']
water wave,travel and places,travel and places,['&#127754;'],['U+1F30A']
jack-o-lantern,activities,activities,['&#127875;'],['U+1F383']
christmas tree,activities,activities,['&#127876;'],['U+1F384']
fireworks,activities,activities,['&#127878;'],['U+1F386']
firework sparkler ≊ sparkler,activities,activities,['&#127879;'],['U+1F387']
sparkles,activities,activities,['&#10024;'],['U+2728']
balloon,activities,activities,['&#127880;'],['U+1F388']
party popper,activities,activities,['&#127881;'],['U+1F389']
confetti ball,activities,activities,['&#127882;'],['U+1F38A']
tanabata tree,activities,activities,['&#127883;'],['U+1F38B']
pine decoration,activities,activities,['&#127885;'],['U+1F38D']
japanese dolls,activities,activities,['&#127886;'],['U+1F38E']
carp streamer,activities,activities,['&#127887;'],['U+1F38F']
wind chime,activities,activities,['&#127888;'],['U+1F390']
moon viewing ceremony ≊ moon ceremony,activities,activities,['&#127889;'],['U+1F391']
ribbon,activities,activities,['&#127872;'],['U+1F380']
wrapped present,activities,activities,['&#127873;'],['U+1F381']
reminder ribbon,activities,activities,['&#127895;'],['U+1F397']
admission tickets,activities,activities,['&#127903;'],['U+1F39F']
ticket,activities,activities,['&#127915;'],['U+1F3AB']
military medal,activities,activities,['&#127894;'],['U+1F396']
trophy,activities,activities,['&#127942;'],['U+1F3C6']
sports medal,activities,activities,['&#127941;'],['U+1F3C5']
first place medal ≊ 1st place medal,activities,activities,['&#129351;'],['U+1F947']
second place medal ≊ 2nd place medal,activities,activities,['&#129352;'],['U+1F948']
third place medal ≊ 3rd place medal,activities,activities,['&#129353;'],['U+1F949']
soccer ball,activities,activities,['&#9917;'],['U+26BD']
baseball,activities,activities,['&#9918;'],['U+26BE']
basketball and hoop ≊ basketball,activities,activities,['&#127936;'],['U+1F3C0']
volleyball,activities,activities,['&#127952;'],['U+1F3D0']
american football,activities,activities,['&#127944;'],['U+1F3C8']
rugby football,activities,activities,['&#127945;'],['U+1F3C9']
tennis racquet and ball ≊ tennis,activities,activities,['&#127934;'],['U+1F3BE']
billiards,activities,activities,['&#127921;'],['U+1F3B1']
bowling,activities,activities,['&#127923;'],['U+1F3B3']
cricket bat and ball ≊ cricket,activities,activities,['&#127951;'],['U+1F3CF']
field hockey stick and ball ≊ field hockey,activities,activities,['&#127953;'],['U+1F3D1']
ice hockey stick and puck,activities,activities,['&#127954;'],['U+1F3D2']
table tennis paddle and ball ≊ ping pong,activities,activities,['&#127955;'],['U+1F3D3']
badminton racquet and shuttlecock ≊ badminton,activities,activities,['&#127992;'],['U+1F3F8']
boxing glove,activities,activities,['&#129354;'],['U+1F94A']
martial arts uniform,activities,activities,['&#129355;'],['U+1F94B']
goal net,activities,activities,['&#129349;'],['U+1F945']
direct hit,activities,activities,['&#127919;'],['U+1F3AF']
flag in hole,activities,activities,['&#9971;'],['U+26F3']
ice skate,activities,activities,['&#9976;'],['U+26F8']
fishing pole and fish ≊ fishing pole,activities,activities,['&#127907;'],['U+1F3A3']
running shirt with sash ≊ running shirt,activities,activities,['&#127933;'],['U+1F3BD']
ski and ski boot ≊ skis,activities,activities,['&#127935;'],['U+1F3BF']
fencer ≊ person fencing,activities,activities,['&#129338;'],['U+1F93A']
horse racing,activities,activities,['&#127943;'],['U+1F3C7']
skier,activities,activities,['&#9975;'],['U+26F7']
snowboarder,activities,activities,['&#127938;'],['U+1F3C2']
golfer ≊ person golfing,activities,activities,['&#127948;'],['U+1F3CC']
surfer ≊ person surfing,activities,activities,['&#127940;'],['U+1F3C4']
"person surfing, type-1-2",activities,activities,"['&#127940;', '&#127995;']","['U+1F3C4', 'U+1F3FB']"
"person surfing, type-3",activities,activities,"['&#127940;', '&#127996;']","['U+1F3C4', 'U+1F3FC']"
"person surfing, type-4",activities,activities,"['&#127940;', '&#127997;']","['U+1F3C4', 'U+1F3FD']"
"person surfing, type-5",activities,activities,"['&#127940;', '&#127998;']","['U+1F3C4', 'U+1F3FE']"
"person surfing, type-6",activities,activities,"['&#127940;', '&#127999;']","['U+1F3C4', 'U+1F3FF']"
rowboat ≊ person rowing boat,activities,activities,['&#128675;'],['U+1F6A3']
"person rowing boat, type-1-2",activities,activities,"['&#128675;', '&#127995;']","['U+1F6A3', 'U+1F3FB']"
"person rowing boat, type-3",activities,activities,"['&#128675;', '&#127996;']","['U+1F6A3', 'U+1F3FC']"
"person rowing boat, type-4",activities,activities,"['&#128675;', '&#127997;']","['U+1F6A3', 'U+1F3FD']"
"person rowing boat, type-5",activities,activities,"['&#128675;', '&#127998;']","['U+1F6A3', 'U+1F3FE']"
"person rowing boat, type-6",activities,activities,"['&#128675;', '&#127999;']","['U+1F6A3', 'U+1F3FF']"
swimmer ≊ person swimming,activities,activities,['&#127946;'],['U+1F3CA']
"person swimming, type-1-2",activities,activities,"['&#127946;', '&#127995;']","['U+1F3CA', 'U+1F3FB']"
"person swimming, type-3",activities,activities,"['&#127946;', '&#127996;']","['U+1F3CA', 'U+1F3FC']"
"person swimming, type-4",activities,activities,"['&#127946;', '&#127997;']","['U+1F3CA', 'U+1F3FD']"
"person swimming, type-5",activities,activities,"['&#127946;', '&#127998;']","['U+1F3CA', 'U+1F3FE']"
"person swimming, type-6",activities,activities,"['&#127946;', '&#127999;']","['U+1F3CA', 'U+1F3FF']"
person with ball,activities,activities,['&#9977;'],['U+26F9']
"person with ball, type-1-2",activities,activities,"['&#9977;', '&#127995;']","['U+26F9', 'U+1F3FB']"
"person with ball, type-3",activities,activities,"['&#9977;', '&#127996;']","['U+26F9', 'U+1F3FC']"
"person with ball, type-4",activities,activities,"['&#9977;', '&#127997;']","['U+26F9', 'U+1F3FD']"
"person with ball, type-5",activities,activities,"['&#9977;', '&#127998;']","['U+26F9', 'U+1F3FE']"
"person with ball, type-6",activities,activities,"['&#9977;', '&#127999;']","['U+26F9', 'U+1F3FF']"
weight lifter ≊ person weight lifting,activities,activities,['&#127947;'],['U+1F3CB']
"person weight lifting, type-1-2",activities,activities,"['&#127947;', '&#127995;']","['U+1F3CB', 'U+1F3FB']"
"person weight lifting, type-3",activities,activities,"['&#127947;', '&#127996;']","['U+1F3CB', 'U+1F3FC']"
"person weight lifting, type-4",activities,activities,"['&#127947;', '&#127997;']","['U+1F3CB', 'U+1F3FD']"
"person weight lifting, type-5",activities,activities,"['&#127947;', '&#127998;']","['U+1F3CB', 'U+1F3FE']"
"person weight lifting, type-6",activities,activities,"['&#127947;', '&#127999;']","['U+1F3CB', 'U+1F3FF']"
bicyclist ≊ person biking,activities,activities,['&#128692;'],['U+1F6B4']
"person biking, type-1-2",activities,activities,"['&#128692;', '&#127995;']","['U+1F6B4', 'U+1F3FB']"
"person biking, type-3",activities,activities,"['&#128692;', '&#127996;']","['U+1F6B4', 'U+1F3FC']"
"person biking, type-4",activities,activities,"['&#128692;', '&#127997;']","['U+1F6B4', 'U+1F3FD']"
"person biking, type-5",activities,activities,"['&#128692;', '&#127998;']","['U+1F6B4', 'U+1F3FE']"
"person biking, type-6",activities,activities,"['&#128692;', '&#127999;']","['U+1F6B4', 'U+1F3FF']"
mountain bicyclist ≊ person mountain biking,activities,activities,['&#128693;'],['U+1F6B5']
"person mountain biking, type-1-2",activities,activities,"['&#128693;', '&#127995;']","['U+1F6B5', 'U+1F3FB']"
"person mountain biking, type-3",activities,activities,"['&#128693;', '&#127996;']","['U+1F6B5', 'U+1F3FC']"
"person mountain biking, type-4",activities,activities,"['&#128693;', '&#127997;']","['U+1F6B5', 'U+1F3FD']"
"person mountain biking, type-5",activities,activities,"['&#128693;', '&#127998;']","['U+1F6B5', 'U+1F3FE']"
"person mountain biking, type-6",activities,activities,"['&#128693;', '&#127999;']","['U+1F6B5', 'U+1F3FF']"
person doing cartwheel,activities,activities,['&#129336;'],['U+1F938']
"person doing cartwheel, type-1-2",activities,activities,"['&#129336;', '&#127995;']","['U+1F938', 'U+1F3FB']"
"person doing cartwheel, type-3",activities,activities,"['&#129336;', '&#127996;']","['U+1F938', 'U+1F3FC']"
"person doing cartwheel, type-4",activities,activities,"['&#129336;', '&#127997;']","['U+1F938', 'U+1F3FD']"
"person doing cartwheel, type-5",activities,activities,"['&#129336;', '&#127998;']","['U+1F938', 'U+1F3FE']"
"person doing cartwheel, type-6",activities,activities,"['&#129336;', '&#127999;']","['U+1F938', 'U+1F3FF']"
wrestlers ≊ people wrestling,activities,activities,['&#129340;'],['U+1F93C']
"people wrestling, type-1-2",activities,activities,"['&#129340;', '&#127995;']","['U+1F93C', 'U+1F3FB']"
"people wrestling, type-3",activities,activities,"['&#129340;', '&#127996;']","['U+1F93C', 'U+1F3FC']"
"people wrestling, type-4",activities,activities,"['&#129340;', '&#127997;']","['U+1F93C', 'U+1F3FD']"
"people wrestling, type-5",activities,activities,"['&#129340;', '&#127998;']","['U+1F93C', 'U+1F3FE']"
"people wrestling, type-6",activities,activities,"['&#129340;', '&#127999;']","['U+1F93C', 'U+1F3FF']"
water polo ≊ person playing water polo,activities,activities,['&#129341;'],['U+1F93D']
"person playing water polo, type-1-2",activities,activities,"['&#129341;', '&#127995;']","['U+1F93D', 'U+1F3FB']"
"person playing water polo, type-3",activities,activities,"['&#129341;', '&#127996;']","['U+1F93D', 'U+1F3FC']"
"person playing water polo, type-4",activities,activities,"['&#129341;', '&#127997;']","['U+1F93D', 'U+1F3FD']"
"person playing water polo, type-5",activities,activities,"['&#129341;', '&#127998;']","['U+1F93D', 'U+1F3FE']"
"person playing water polo, type-6",activities,activities,"['&#129341;', '&#127999;']","['U+1F93D', 'U+1F3FF']"
handball ≊ person playing handball,activities,activities,['&#129342;'],['U+1F93E']
"person playing handball, type-1-2",activities,activities,"['&#129342;', '&#127995;']","['U+1F93E', 'U+1F3FB']"
"person playing handball, type-3",activities,activities,"['&#129342;', '&#127996;']","['U+1F93E', 'U+1F3FC']"
"person playing handball, type-4",activities,activities,"['&#129342;', '&#127997;']","['U+1F93E', 'U+1F3FD']"
"person playing handball, type-5",activities,activities,"['&#129342;', '&#127998;']","['U+1F93E', 'U+1F3FE']"
"person playing handball, type-6",activities,activities,"['&#129342;', '&#127999;']","['U+1F93E', 'U+1F3FF']"
juggling ≊ person juggling,activities,activities,['&#129337;'],['U+1F939']
"person juggling, type-1-2",activities,activities,"['&#129337;', '&#127995;']","['U+1F939', 'U+1F3FB']"
"person juggling, type-3",activities,activities,"['&#129337;', '&#127996;']","['U+1F939', 'U+1F3FC']"
"person juggling, type-4",activities,activities,"['&#129337;', '&#127997;']","['U+1F939', 'U+1F3FD']"
"person juggling, type-5",activities,activities,"['&#129337;', '&#127998;']","['U+1F939', 'U+1F3FE']"
"person juggling, type-6",activities,activities,"['&#129337;', '&#127999;']","['U+1F939', 'U+1F3FF']"
video game,activities,activities,['&#127918;'],['U+1F3AE']
joystick,activities,activities,['&#128377;'],['U+1F579']
game die,activities,activities,['&#127922;'],['U+1F3B2']
black spade suit ≊ spade suit,activities,activities,['&#9824;'],['U+2660']
black heart suit ≊ heart suit,activities,activities,['&#9829;'],['U+2665']
black diamond suit ≊ diamond suit,activities,activities,['&#9830;'],['U+2666']
black club suit ≊ club suit,activities,activities,['&#9827;'],['U+2663']
playing card black joker ≊ joker,activities,activities,['&#127183;'],['U+1F0CF']
mahjong tile red dragon ≊ mahjong red dragon,activities,activities,['&#126980;'],['U+1F004']
flower playing cards,activities,activities,['&#127924;'],['U+1F3B4']
speaker with cancellation stroke ≊ speaker off,objects,objects,['&#128263;'],['U+1F507']
speaker,objects,objects,['&#128264;'],['U+1F508']
speaker with one sound wave ≊ speaker on,objects,objects,['&#128265;'],['U+1F509']
speaker with three sound waves ≊ speaker loud,objects,objects,['&#128266;'],['U+1F50A']
public address loudspeaker ≊ loudspeaker,objects,objects,['&#128226;'],['U+1F4E2']
cheering megaphone ≊ megaphone,objects,objects,['&#128227;'],['U+1F4E3']
postal horn,objects,objects,['&#128239;'],['U+1F4EF']
bell,objects,objects,['&#128276;'],['U+1F514']
bell with cancellation stroke ≊ bell with slash,objects,objects,['&#128277;'],['U+1F515']
musical score,objects,objects,['&#127932;'],['U+1F3BC']
musical note,objects,objects,['&#127925;'],['U+1F3B5']
multiple musical notes ≊ musical notes,objects,objects,['&#127926;'],['U+1F3B6']
studio microphone,objects,objects,['&#127897;'],['U+1F399']
level slider,objects,objects,['&#127898;'],['U+1F39A']
control knobs,objects,objects,['&#127899;'],['U+1F39B']
microphone,objects,objects,['&#127908;'],['U+1F3A4']
headphone,objects,objects,['&#127911;'],['U+1F3A7']
radio,objects,objects,['&#128251;'],['U+1F4FB']
saxophone,objects,objects,['&#127927;'],['U+1F3B7']
guitar,objects,objects,['&#127928;'],['U+1F3B8']
musical keyboard,objects,objects,['&#127929;'],['U+1F3B9']
trumpet,objects,objects,['&#127930;'],['U+1F3BA']
violin,objects,objects,['&#127931;'],['U+1F3BB']
drum with drumsticks ≊ drum,objects,objects,['&#129345;'],['U+1F941']
mobile phone,objects,objects,['&#128241;'],['U+1F4F1']
mobile phone with rightwards arrow at left ≊ mobile phone with arrow,objects,objects,['&#128242;'],['U+1F4F2']
black telephone ≊ telephone,objects,objects,['&#9742;'],['U+260E']
telephone receiver,objects,objects,['&#128222;'],['U+1F4DE']
pager,objects,objects,['&#128223;'],['U+1F4DF']
fax machine,objects,objects,['&#128224;'],['U+1F4E0']
battery,objects,objects,['&#128267;'],['U+1F50B']
electric plug,objects,objects,['&#128268;'],['U+1F50C']
personal computer ≊ laptop computer,objects,objects,['&#128187;'],['U+1F4BB']
desktop computer,objects,objects,['&#128421;'],['U+1F5A5']
printer,objects,objects,['&#128424;'],['U+1F5A8']
keyboard,objects,objects,['&#9000;'],['U+2328']
three button mouse ≊ computer mouse,objects,objects,['&#128433;'],['U+1F5B1']
trackball,objects,objects,['&#128434;'],['U+1F5B2']
minidisc,objects,objects,['&#128189;'],['U+1F4BD']
floppy disk,objects,objects,['&#128190;'],['U+1F4BE']
optical disc,objects,objects,['&#128191;'],['U+1F4BF']
dvd,objects,objects,['&#128192;'],['U+1F4C0']
movie camera,objects,objects,['&#127909;'],['U+1F3A5']
film frames,objects,objects,['&#127902;'],['U+1F39E']
film projector,objects,objects,['&#128253;'],['U+1F4FD']
clapper board,objects,objects,['&#127916;'],['U+1F3AC']
television,objects,objects,['&#128250;'],['U+1F4FA']
camera,objects,objects,['&#128247;'],['U+1F4F7']
camera with flash,objects,objects,['&#128248;'],['U+1F4F8']
video camera,objects,objects,['&#128249;'],['U+1F4F9']
videocassette,objects,objects,['&#128252;'],['U+1F4FC']
left-pointing magnifying glass,objects,objects,['&#128269;'],['U+1F50D']
right-pointing magnifying glass,objects,objects,['&#128270;'],['U+1F50E']
microscope,objects,objects,['&#128300;'],['U+1F52C']
telescope,objects,objects,['&#128301;'],['U+1F52D']
satellite antenna,objects,objects,['&#128225;'],['U+1F4E1']
candle,objects,objects,['&#128367;'],['U+1F56F']
electric light bulb ≊ light bulb,objects,objects,['&#128161;'],['U+1F4A1']
electric torch ≊ flashlight,objects,objects,['&#128294;'],['U+1F526']
izakaya lantern ≊ red paper lantern,objects,objects,['&#127982;'],['U+1F3EE']
notebook with decorative cover,objects,objects,['&#128212;'],['U+1F4D4']
closed book,objects,objects,['&#128213;'],['U+1F4D5']
open book,objects,objects,['&#128214;'],['U+1F4D6']
green book,objects,objects,['&#128215;'],['U+1F4D7']
blue book,objects,objects,['&#128216;'],['U+1F4D8']
orange book,objects,objects,['&#128217;'],['U+1F4D9']
books,objects,objects,['&#128218;'],['U+1F4DA']
notebook,objects,objects,['&#128211;'],['U+1F4D3']
ledger,objects,objects,['&#128210;'],['U+1F4D2']
page with curl,objects,objects,['&#128195;'],['U+1F4C3']
scroll,objects,objects,['&#128220;'],['U+1F4DC']
page facing up,objects,objects,['&#128196;'],['U+1F4C4']
newspaper,objects,objects,['&#128240;'],['U+1F4F0']
